,lang,trigger_words_strings
0,uk,"['від російського військового експерта', 'кухара путіна 2 розряду', 'спеціаліста по снарядному голоду та ректора музичної академії міноборони рф Євгєнія Пригожина', 'Пригожин прогнозує, що невдовзі настане день звільнення Криму і день розпаду росії. Каже, що передумови цього вже створені']"
1,ru,"['Недавно 95 квартал жёстко поглумился над', 'дегенеративные', 'Как обычно стать на колени и лизать украинскую туфлю, чтобы их простили', 'Украинцы же как негры']"
2,uk,['він оточений з невідомих простій русні причин']
4,ru,['уничтожают украинских нацистов']
5,uk,"['Нічого зайвого', 'Скромна, богоугодна']"
7,uk,"['Та попри очевидні ризики, президент США та лідер демократичного світу приїжджає у вільну країну вільних людей, котрі ціною величезних втрат захищають свободу.', 'Приїжджає, щоб показати — союз України\xa0 і США міцний і незламний. Що Сполучені Штати можуть і будуть підтримувати українців до повної перемоги.\xa0\nБуря, що здійнялася на московських болотах після візиту, підтверджує, що сигнал вони отримали і зрозуміли правильно — про жодні компроміси чи розмови про Україну без України не може бути мови. Новий пакет військової допомоги від США на майже 500 мільйонів, який анонсував Байден, став практичним свідченням серйозності намірів.']"
8,ru,"['После освобождения Соледара откроются благоприятные перспективы', 'освобождения Артемовска']"
9,ru,"['Российское руководство сделало террор инструментом внешней и внутренней политики', 'массовый психоз', 'продуцируя ненависть и смерть', 'системный террор', 'убивая тысячи мирных граждан в пыточных', 'Гибель беззащитных гражданских, а особенно детей', 'убийству ни в чем не повинных гражданских, включая маленьких детей', 'россияне пытали у убивали людей тысячами', 'российский террор']"
10,ru,"['Ну, что, расеянцы', 'повоевали', 'А если бы учили историю', 'конспирологические бредни', 'московского царства']"
12,uk,"['Підари', 'прорватися', 'ліквідований особовий склад', 'знищену техніку противника']"
13,uk,"['зволікань', 'нарешті приєднується', 'Маючи чітку політичну волю та позицію', 'рішення українського парламенту вкотре демонструє, що попри війну Україна продовжує слідувати Європейським зеленим курсом та дбає про своїх людей та власне довкілля', ' крок за кроком зменшуємо дистанцію між нами та ЄС і з кожним рішенням збільшуємо прірву з агресивним сусідом.  Бо наш шлях - це шлях прогресивних дій та якісних змін в країні”,']"
16,ru,"['Трагедия в трёх актах', 'Украинские беженцы хотели забросить дерьмо в почтовые ящики к русскоговорящим в Берлине.\n2. Украинцы случайно перепутали адреса и закинули дерьмо в ящики коренных жителей Берлина.', 'Их задержала полиция', 'Конец.\n😍']"
17,ru,"['все сразу достали кошельки', 'украинство - это', 'крутить наждак']"
18,uk,"['Сцуко', 'Кращій стьоб над руснявою ескортницею від американського військового. )))\nPS  От це кончене русняве провмовляння англійських слів - драту']"
20,uk,"['сукупні ресурси антивоєнної', 'демократичної', 'проукраїнської', 'коаліції значно перевищують російські', 'тому питання програшу Рф не мало б узагалі стояти', 'У демократії немає часу на довгі дискусії та бюрократію – зараз глобальний Захід стоїть перед вибором: дати Україні необхідну допомогу чи безповоротно програти диктаторській Росії', 'Виграш Рф змінить долю не лише України, а й системи міжнародної безпеки загалом, де рацію матиме не той, хто діє в межах закону, а той, хто здатен на більше насилля. Якщо демократія не зможе захистити себе', 'політична воля громадян на виборах буде очевидною']"
22,ru,['ничтожение группы ВСУшников в Бахмуте артиллерией ЧВК «Вагнер» \nПойманы однажды ночью во время очередной ротации.']
23,uk,"['А ще краще — притягнути до відповідальності тих, хто займається цим ідіотизмом']"
24,uk,"['На розі вулиці Хрещатик та Бессарабської площі стоять 3 зелених та 1 ухилянт шось виписувал', 'Осещина міст, стоять коршуни  у повному складі, виписували чоловік', 'БЦ вулиця Глиняна виписують чоловіку', 'БЦ вул. Київська район Бош сервіс мобільний блокпост. Виписують', 'Богуслав, центр міста хмари виписують сніжк', 'Майдан Незалежності, Укрпошта, виписують', '4ри баклажани і 1н огірок зловили хлопця', 'два синіх та два зелених роздають и сей час!', 'ходять зелені та сині хмари', '2 зелених 1 синій стоять']"
26,uk,"['безжально знищувати екосистему', 'безглуздого спалювання сухостою', 'людська недбалість', 'гинуть тварини та птахи']"
27,uk,"['Був взятий в полон під Бахмутом українськими воїнами', 'Розповідає про примусову мобілізацію, повну відсутність навчання, погане забезпечення як речове, грошове, так і продовольче, що був змушений пити воду з річки, жорстоке поводження з тими, хто відмовлявся воювати, як були ""кинуті"" своїм керівництвом бригади та надзвичайно великі втрати']"
29,ru,"['Украине нужны солдаты, а не учёные', 'ВУЗы Львова обязали передавать информацию о студентах мужского пола напрямую в военкоматы. Будущих новобранцев, похоже, будут забирать на службу прямо с лекционной скамьи.', 'Тот факт, что на Украине может не остаться мужчин конечно же никого не волнует!']"
31,ru,['Крайне опасного преступника вычислили все же']
