text,cluster
"Its an ahistorical opinion, honestly. The main reason Ukraine gave up its nukes is that it couldnt afford to maintain them. The US pressured them on this because of fears that would rapidly lead to dispersal of the weapons to bad actors. Its also why the Russian efforts to safely dispose of so much of their arsenal were paid for by the US.",4
WTF are you doing in Ukraine olenebod tu ebaniu.,4
Yes he does. Hes gong to stop all aid to Ukraine.,4
"Thats the sad thing of all. With the fall of the USSR, Ukraine agreed and abided by the agreements made. And they kinda shot themselves in the foot. The russians cannot be trusted.",4
Unauthorized?!? By whom?!? Its Ukraine. The only country who can authorise peacekeepers is Ukraine. Ruzzia has no jurisdiction in Ukraine. Theyre absolutely out of their minds.,4
"‼️Of course, always love♥️and support Ukraine, Forever‼️",4
Not a time to push Putin paranoia. Trump is already doing it to the max. We do not want nuclear war in Ukraine It has never been closer. Putin has a bankrupt country a military that is questionable and failing support. Every Ukrainian drone burning Russian oil shows Putin has failed. This is dangerous. Ukraine has no choice but to push on the West needs to help but quietly.,4
" borders wont return to pre-. Europeans must provide security as part of negotiations for Ukraine, as non-NATO.US boots wont be in Ukraine.European countries must spend % GDP on its own defense.Europeans need to get produce more energy and reduce reliance on Russia",4
"I’m all for Ukraine, but we have to admit these numbers are most definitely exaggerated.",4
"Biden slowed him down, but he is still on track to screw over Ukraine.",4
"Its an ahistorical opinion, honestly. The main reason Ukraine gave up its nukes is that it couldnt afford to maintain them. The US pressured them on this because of fears that would rapidly lead to dispersal of the weapons to bad actors. Its also why the Russian efforts to safely dispose of so much of their arsenal were paid for by the US.",4
Remember  weeks ago when r/uhg/ was sure Trump would save Ukraine,4
Ukraine should get nuclear weapons back,4
Why people would be hostile towards freedom fighters?!? Slava ukraine Salva TTC,4
"I hope when hes done in Ukraine, President Zelensky will consider freeing America",4
"Alsjeblieft bro! Maked me Smile when a coworker from Ukraine texted me he saw one of our older planes fly over! Give them hell! Pootin, if you still have a micro penis... Just leave...",4
"My dear compatriots,Today, I have the honor of announcing a pivotal moment in our nation’s history. I have signed, together with the presidents of the Russian Federation and the United States, a peace treaty that ends the conflict that has deeply scarred our people. While this treaty involves difficult concessions, it is a necessary step to stop the tragedy and prevent further unnecessary loss of life.The occupied territories will remain under Russian control. I know how painful this is. Yet, as your president, I must prioritize life, reconstruction, and our future over battles that would continue to weaken us.Our nation has endured immense suffering. Thousands of lives have been lost, brave men and women who gave everything to defend our homeland. This war has left deep scars, but it has not broken us. However, we must face the reality that our demographics have been significantly impacted. To ensure the vitality of our country, we must look beyond our borders and welcome new citizens.This is why we have signed agreements with countries like India and several African nations to encourage immigration and help rebuild our society. These newcomers, from Asia and Africa, will bring their talents, energy, and cultures. They will not replace what we have lost but will enrich our nation in new ways.In this transformation, Ukraine can become a model of diversity and openness. Far from diluting our identity, this diversity will enhance our resilience and prosperity. Each individual who chooses to call Ukraine home will be a gift to our country. Together, we will build a society where tolerance, solidarity, and hope overcome the wounds of war.This marks a turning point. Let us face the future with courage, welcome those who come, and believe in our strength to build a united and inclusive Ukraine.Slava Ukraini!",4
"Then no Euro troops in Ukraine holding any fucking deal Trump negotiates with Putin.Let it rot, we dont care about your dealIf you close it, you defend it.Dont close deals without us then say we need to take care of them.Not our deal, not our troops then. Not our problem.Then Ukraine gets invaded again and Trumps deal gets reveal as being shit on a stick without troops enforcing itAnd were not gonna do work for your deal. Now fuck off from Europe and pay copyright on all those cultural artefacts you copied from Euro culture. Youre not European so theyre not yours.",4
Sorry Ukraine maybe our next president wont be a Russian puppet,4
I’m from Appalachia and I say lol fuck Ukraine,4
YOU FORGOT REPARATIONS FOR UKRAINE!!! PAY UP RUSSIAN!!!,4
Just wipe the whole lot of them off the face of the earth SLAVA UKRAINE 🇺🇦 🇮🇪,4
"Ive mentioned before that neither Switzerland nor Austria are part of NATO, and neither is a friend to Ukraine. They hide Russian Oligarchs money in their banking system, and contribute nothing to Ukraine.",4
Im feeling pretty basedSlava Ukraine!,4
Another example of the “Ukraine is important to the whole world” delirium.,4
Too many Europeans are nw turning against Ukraine.,4
"Putin and his pal Trump are now working together on a peace deal, that will leave Ukraine holding the short end of the stick.",4
"Russia gives kickbacks/bribes to buy from them. Ukraine will not. Zelenskyy offered to provide energy at no cost currently, and worry about it later, after the war. This equals energy problems solved, but ZERO bribe money in crooked politicians secret bank accounts. Slava and yet still Slava✡️✝️🕊💯",4
"What an example of bravery, leadership and courage. These are the real life heroes. Glory to Ukraine!",4
Best case scenario is a negotiated peace. Ukraine will lose more land and life the longer it drags out,4
"Ukraine is doing what Hitler could not, Uniting Europe into one state with one people, Heil Hitler, Slava Ukraini ❤️🇺🇦❤️",4
WTF are you doing in Ukraine olenebod tu ebaniu.,4
"You are the enemy, so its ok to destroy Ukraine?",4
No NATO membership No US troops in Ukraine So the same thing as always?Russian influence will increase in Europe in the coming yearsSo something that will not happen?,4
Yes I support Ukraine absolutely and without wavering.,4
No shit. I hope he doesn’t abandon Ukraine…,4
"So help me understand. Recruit a dumbass, pay them a bucket of money, send them to the front and get them killed? I’m all for dead Russians but this plan is stupid. Slava Ukraine",4
Best case scenario is a negotiated peace. Ukraine will lose more land and life the longer it drags out,4
Too many in Europe are now favoring cheap gas over Ukraine!,4
ukraine was the second largest millitary in europe funded by nato in unprecented amounts it’s indeed time to get real Hans,4
"Trump is Putin’s lap dog. He just cut all aid to Ukraine. If Trump REALLY wanted to end the war, he’d increase sanctions, increase aid to Ukraine and lead NATO in enforcing a no-fly zone over Eastern Ukraine.",4
"The National Security and Defense Council has imposed sanctions against Petro Poroshenko, two informed sources told Forbes Ukraine, one of whom was present at the meeting of the National Security and Defense Council.",4
Ukraine needs to settle with Putin. Give some land away. Accept defeat and save its young men’s live. I don’t think much would change for the Ukraines living in the border anyway.,4
"Yes, Im still rooting for Ukraine. They must prevail.",4
You need to keep wasting taxpayer money on Ukraine or else itll go to IsraelNAFO has gotten desperate lmao,4
"They used to be higher, but they seem to be dying off after trying to head into Ukraine.",4
"I get it all, but this would probably just fuel the russian people to further militarization and aggression towards ukraine. A",4
To those brave soldiers of Ukraine - we didn’t want this. So please accept my apologies for this disgusting common now decision. Loyalty isn’t a concept of the GOP.,4
"This isnt news. Theyve been punting on the question of Ukraine joining NATO since . It was never going to happen and this point has been reiterated over and over again, even by Zelensky three years back. NATO expansion was never a legitimate security concern and this war has nothing to do with it.",4
"Yes, Ukraine deserves to be liberated by all means possible. 🇺🇦🇺🇦🇺🇦",4
Copying what Ukraine did in Mariupol.,4
A real war against NATO goes nuclear. Putins final card is a nuclear tactical weapon. Against Ukraine not an insurmountable problem . If it is against NATO its Armageddon. there is a dance here and Putins economy is. Destroyed. What does he have left?,4
i am sure Ukraine would not mind having that shit in their cells... it would actually be punishment... Finland is too civilised.,4
One million is coming fast! Thanks UKRAINE !,4
They are exactly halving the aid to Ukraine…?!,4
